"Math","English","Pass"
"1.9499521545387493","1.5470309670324593","1"
"1.906619884437888","1.907298452505772","1"
"1.6682923988831522","1.6953764022273528","1"
"1.7766230741353048","1.4834543519489338","1"
"1.4732971834292772","2.076836092728507","1"
"2.101615099891763","1.907298452505772","1"
"2.166613505043055","2.119220502784191","1"
"1.6032939937318604","2.098028297756349","1"
"1.4949633184797078","1.864914042450088","1"
"1.104972887571958","2.0344516826728234","1"
"1.9282860194883187","1.6953764022273528","1"
"1.9932844246396104","2.098028297756349","1"
"1.6032939937318604","1.6741841971995108","1"
"1.4732971834292772","2.076836092728507","1"
"1.5166294535301383","1.864914042450088","1"
"2.1449473699926243","2.0556438877006653","1"
"1.9499521545387493","1.907298452505772","1"
"1.906619884437888","1.2715323016705147","1"
"1.4949633184797078","1.907298452505772","1"
"1.538295588580569","0.6357661508352573","0"
"1.7116246689840133","0.6569583558630993","0"
"0.866645402017222","0.8264959960858345","0"
"0.6499840515129164","0.8900726111693602","0"
"0.6933163216137775","0.953649226252886","0"
"1.1266390226223886","0.6569583558630993","0"
"0.7366485917146386","0.932457021225044","0"
"0.8883115370676524","0.6781505608909412","0"
"0.6933163216137775","0.7841115860301506","0"
"0.953309942218944","0.8900726111693602","0"
"1.0833067525215274","0.6357661508352573","0"
"0.866645402017222","0.7417271759744669","0"
"0.8016469968659302","0.8900726111693602","0"
"1.104972887571958","0.6357661508352573","0"
"0.671650186563347","0.6569583558630993","0"
"0.7799808618154997","0.6569583558630993","0"
"0.909977672118083","0.6781505608909412","0"
"0.6499840515129164","0.6781505608909412","0"
"0.8883115370676524","0.6357661508352573","0"
"0.6933163216137775","0.8476882011136764","0"
